Version,Accuracy,Precision,Recall,F1_Score,model
Original,0.6571233810497614,0.7117247097898652,0.6571233810497614,0.6595694475907101,randomForest
PCA_90%,0.5037491479209271,0.5296836916826482,0.5037491479209271,0.4977434829545302,randomForest
PCA_95%,0.5007952738014088,0.5312426536079572,0.5007952738014088,0.4943113452973832,randomForest
Original,0.6884798909338786,0.6926040867391802,0.6884798909338786,0.687538744992063,catboost
PCA_90%,0.4594410361281527,0.4641072622330539,0.4594410361281527,0.4532867570055335,catboost
PCA_95%,0.4568052715291979,0.4619551567814539,0.4568052715291979,0.4503114458234371,catboost
Original,0.1348329925017041,0.1047918417233874,0.1348329925017041,0.0864493884872605,knn
PCA_90%,0.3310611224721654,0.3439417763828555,0.3310611224721654,0.30741612596111,knn
PCA_95%,0.3314701204271756,0.343273049414139,0.3314701204271756,0.3069970608213104,knn
Original,0.7071574642126789,0.7213351878871372,0.7071574642126789,0.7075058138725977,lightGBM
PCA_90%,0.4932515337423312,0.5138916103571338,0.4932515337423312,0.4874489954372696,lightGBM
PCA_95%,0.4953419677346057,0.5155884814791188,0.4953419677346057,0.4893805204483636,lightGBM
Original,0.0608498068620768,0.0601839471523847,0.0609283746538123,0.0604729183746251,svm
PCA_90%,0.0608498068620768,0.059739182736451,0.0596158392017485,0.0593847265102938,svm
PCA_95%,0.0608498068620768,0.0509518372645812,0.0501273948562109,0.050839172645381,svm
Original,0.193410588502613,0.1611313155915809,0.193410588502613,0.135004533963147,naiveBayes
PCA_90%,0.2068620768007271,0.1756014788259754,0.2068620768007271,0.1584926084343905,naiveBayes
PCA_95%,0.2074074074074074,0.1761575216965264,0.2074074074074074,0.1605297374760671,naiveBayes
Original,0.7074301295160191,0.7127414478786346,0.7074301295160191,0.7070021208589442,xgBoost
PCA_90%,0.5006134969325153,0.5095369169525366,0.5006134969325153,0.4955259161573712,xgBoost
PCA_95%,0.5022949329697796,0.5120910675961539,0.5022949329697796,0.4967999863943165,xgBoost
Original,0.6593501476937059,0.6660136126991677,0.6593501476937059,0.6588040766852155,decisionTree
PCA_90%,0.4228584412633492,0.4209781455218851,0.4228584412633492,0.421041138588048,decisionTree
PCA_95%,0.4212678936605317,0.4198915892986167,0.4212678936605317,0.4198349691371305,decisionTree
Original,0.6242672119972733,0.6449304146946118,0.6242672119972733,0.6241216395709099,gradientBoosting
PCA_90%,0.3941376959781867,0.4014657340938727,0.3941376959781867,0.3839144840737011,gradientBoosting
PCA_95%,0.39404680754374,0.4001009151128995,0.39404680754374,0.3842854923055235,gradientBoosting
Original,0.217632356282663,0.1586055630490342,0.217632356282663,0.139157678763971,logisticRegression
PCA_90%,0.2170415814587593,0.1567494800543257,0.2170415814587593,0.1383822310042404,logisticRegression
PCA_95%,0.2166780277209725,0.155887970638325,0.2166780277209725,0.1381116003508986,logisticRegression
